id;btag;accountid;catid;partnerid;amount;memo;transferid;isUmbuchung
2;2002-12-31;1;11066;117;4550000;Mietzahlung Furkel 1997 - 2002;;0
3;2002-12-31;1;10038;122;-4550000;Ausbuchung Mieteinnahmen 1997 - 2002;;0
6;2003-01-02;1;10015;121;-1822;;;0
7;2003-01-17;1;2;122;150000;;;0
9;2003-02-06;1;2;122;75000;;;0
12;2003-02-14;1;2;122;130000;;;0
14;2003-03-15;1;2;122;700000;;;0
16;2003-03-21;1;7;122;66663;Kauf und Verkauf Bayer Option Gewinn;;0
18;2003-03-26;1;1000;124;277771;;;0
19;2003-03-26;1;11067;124;50000;;18;0
20;2003-03-26;1;11039;124;227771;;18;0
21;2003-03-31;1;1000;125;3198;;;0
22;2003-03-31;1;10015;125;0;;21;0
23;2003-03-31;1;2107;125;3198;;21;0
24;2003-03-31;1;10054;125;0;;21;0
25;2003-04-01;1;10015;121;-1797;;;0
27;2003-04-04;1;11;122;169000;;;0
29;2003-04-11;1;2;122;60000;;;0
32;2003-04-17;1;2;122;135000;;;0
35;2003-05-16;1;2;122;150000;;;0
39;2003-06-13;1;2;122;150000;;;0
41;2003-06-18;1;10009;130;5000;;;0
43;2003-06-30;1;1000;125;1272;;;0
44;2003-06-30;1;10015;125;0;;43;0
45;2003-06-30;1;2107;125;1272;;43;0
46;2003-06-30;1;10054;125;0;;43;0
47;2003-07-01;1;10015;121;-2476;;;0
48;2003-07-11;1;11054;132;3400;Karin;;0
49;2003-07-15;1;2;122;100000;;;0
52;2003-08-08;1;10038;133;-2147;Differenzbuchung;;0
54;2003-08-15;1;2;122;140000;;;0
56;2003-08-20;1;11041;149;-1002;Reinigung Felgen;;0
58;2003-08-29;1;7;122;48900;Heiler Software;;0
63;2003-09-15;1;2;122;150000;;;0
71;2003-09-30;1;1000;125;1187;;;0
72;2003-09-30;1;10015;125;0;;71;0
73;2003-09-30;1;2107;125;1187;;71;0
74;2003-09-30;1;10054;125;0;;71;0
75;2003-10-01;1;10015;121;-2792;;;0
76;2003-10-06;1;11054;984;-3200;;;0
77;2003-11-05;1;11049;984;-600;Parken;;0
78;2003-11-14;1;2;122;45000;;;0
82;2003-12-05;1;11;122;300000;;;0
84;2003-12-05;1;10028;144;-8850;;;0
85;2003-12-08;1;8;122;30000;;;0
87;2003-12-10;1;8;122;200000;;;0
90;2003-12-31;1;1000;125;787;;;0
91;2003-12-31;1;10015;125;0;;90;0
92;2003-12-31;1;2107;125;1161;;90;0
93;2003-12-31;1;10054;125;0;;90;0
94;2003-12-31;1;10037;125;0;;90;0
95;2003-12-31;1;2500;125;-374;;90;0
96;2003-12-31;1;10015;125;0;;90;0
97;2004-01-02;1;1000;125;-2879;;;0
98;2004-01-02;1;10015;125;0;;97;0
99;2004-01-02;1;2107;125;0;;97;0
100;2004-01-02;1;10054;125;0;;97;0
101;2004-01-02;1;10037;125;0;;97;0
102;2004-01-02;1;2500;125;0;;97;0
103;2004-01-02;1;10015;125;0;;97;0
104;2004-01-02;1;10015;125;-2879;;97;0
105;2004-02-05;1;25;146;1371078;;;0
106;2004-02-05;1;11049;144;-8300;;;0
107;2004-02-15;1;2;122;170000;;;0
109;2004-03-05;1;8;122;150000;;;0
111;2004-03-31;1;1000;125;1901;;;0
112;2004-03-31;1;10015;125;0;;111;0
113;2004-03-31;1;2107;125;1901;;111;0
114;2004-03-31;1;10054;125;0;;111;0
115;2004-03-31;1;10037;125;0;;111;0
116;2004-03-31;1;2500;125;0;;111;0
117;2004-03-31;1;10015;125;0;;111;0
118;2004-03-31;1;10015;125;0;;111;0
120;2004-04-02;1;10015;121;-3470;;;0
121;2004-04-13;1;7;122;92892;;;0
123;2004-04-15;1;2;122;160000;;;0
125;2004-04-16;1;2;122;180000;;;0
127;2004-04-19;1;8;122;154000;;;0
129;2004-04-26;1;8;122;85000;;;0
131;2004-05-03;1;11041;149;-12825;;;0
132;2004-05-05;1;11049;150;74600;Anteil Bodo;;0
133;2004-05-06;1;11049;151;-66600;Anteil Heike;;0
135;2004-05-08;1;1000;124;427056;;;0
136;2004-05-08;1;11067;124;327056;;135;0
137;2004-05-08;1;11039;124;100000;;135;0
138;2004-05-14;1;2;122;230000;;;0
140;2004-05-20;1;7;122;158;;;0
