id;name;description;obercatid;supercatid;catclassid;incomecat;ausgeblendet
0;Ohne Kategorie;Standardeintrag für neue Umsätze;0;0;0;;0
1000;<Splittbuchung>;;1000;1000;1;;1
1001;Giro-, Kredit- und Anlagekonten;;1001;1001;1;;1
1002;Depotkonten;;1002;1002;1;;1
1003;Girokonten;;1003;1001;1;;1
1004;Visa, Mastercard, Amexco;;1004;1001;1;;1
1005;Wertpapierkonten;;1005;1002;1;;1
1006;Vermögenskonten;;1006;1001;1;;1
1007;Sparverträge, Festgelder;;1007;1001;1;;1
1008;Verbindlichkeiten und Kredite;;1008;1001;1;;1
1009;Immobilien;;1009;1001;1;;1
2000;WPUmsatz;Bestandsveränderungen Wertpapier;2000;2000;3;0;0
2001;Kauf;Kauf;2000;2000;3;0;0
2050;Verkauf;Verkauf;2000;2000;3;1;0
2090;WP_Splitt;Wertpapiersplitt;2000;2000;3;;0
2091;Spin-Off;Unternehmensaufspaltung;2000;2000;3;;0
2100;Kapitalerträge;;2100;2100;112;1;0
2101;Kapitalerträge:Stückzinsen;;2101;2100;112;0;1
2103;Kapitalerträge:Thesaurierung;;2103;2100;112;1;1
2104;Kapitalerträge:sonstige Einnahme;;2104;2100;112;1;0
2105;Kapitalerträge:Dividende Inland;;2105;2100;112;1;1
2106;Kapitalerträge:Dividende Ausland;;2106;2100;112;1;1
2107;Kapitalerträge:Zinseinnahme;;2107;2100;112;1;0
2108;Kapitalerträge:Ausschüttung;;2108;2100;112;1;1
2111;Kapitalerträge:sonstige Ausgaben;;2111;2111;112;0;0
2200;Kursgewinne (realisiert);;2200;2100;112;1;0
2201;Kursverluste (realisiert);;2201;2100;112;0;0
2500;Steuer u. Abgab:Abgeltungssteuer;;10040;10040;112;0;0
9000;<Eröffnungssaldo>;;9000;9000;1;;1
10001;And. Einkommen;Andere Einkommen;10001;10001;115;1;0
10002;Lohn,Gehalt,Rente;;10002;10002;101;1;0
10003;Sparen;;10003;10003;103;1;0
10004;Steuererst.;Steuererstattungen;10004;10004;105;1;0
10005;Zuwendungen;Erhaltene Geschenke;10005;10005;115;1;0
10006;Arbeitsmittel;Arbeitsmittel Büro;10006;10006;106;0;0
10007;Arbeitszimmer;Arbeitszimmer Zuhause;10007;10007;106;0;0
10008;Ausbildung;Seminare,Schulungen;10008;10008;106;0;0
10009;BAR;;10009;10009;106;0;0
10010;Bausparen;Bauspar-Aufwendungen;10010;10010;103;0;0
10011;Berufskleidung;Berufskleidung;10011;10011;106;0;0
10012;Berufsverbände;Beiträge an Berufsverb.;10012;10012;106;0;0
10013;Bürobedarf;Büroausgaben;10013;10013;106;0;0
10014;Computer;PC und Software;10014;10014;106;0;0
10015;Bankgebühren;Konto/Depotgebühren;10015;10015;102;0;0
10016;Dienstreise;Fahrtkosten,Auslagen;10016;10016;110;0;0
10017;Einrichtung;Einrichtung;10017;10017;106;0;0
10018;Ernährung;Lebensmittel,Essen;10018;10018;106;0;0
10019;Fachliteratur;Fachzeitschriften,Bücher;10019;10019;106;0;0
10020;Fahrtkosten;Diverse Fahrtkosten;10020;10020;107;0;0
10021;Fahrzeuge;Ausgaben für Fahrzeuge;10021;10021;107;0;0
10022;Freizeit;Freizeitaufwendungen;10022;10022;108;0;0
10023;Geschenke;Geldgeschenke;10023;10023;106;0;0
10024;Immobilien;Immobilien;10024;10024;111;0;0
10025;Kleidung;Kleidung;10025;10025;106;0;0
10026;Krankheitskost.;Krankheitskosten;10026;10026;113;0;0
10027;Leasing;Leasingraten;10027;10027;107;0;0
10028;Lebensmittel;;10028;10028;106;0;0
10029;Miete;Miete;10029;10029;114;0;0
10030;Nebenk. Wohnung;Nebenkosten Wohnung;10030;10030;114;0;0
10031;Nebenk. Wohnung:Gas,Öl;Erdgas/Heizöl;10030;10030;114;0;0
10032;Nebenk. Wohnung:Wasser;Wasser;10030;10030;114;0;0
10034;Nebenk. Wohnung:Versicherungen;;10030;10030;114;0;0
10035;Nebenk. Wohnung:Strom;Strom,Elektrizität;10030;10030;114;0;0
10036;Nebenk. Wohnung:Sonstiges;;10030;10030;114;0;0
10037;Porto;Porto,Postgebühren;10037;10037;106;0;0
10038;Sonstige Ausgaben;Verschiedene Ausgaben;10038;10038;110;0;0
10039;Spende;Spenden,Wohltätigkeit;10039;10039;109;0;0
10040;Steuer u. Abgab;;10040;10040;105;0;0
10041;Steuer u. Abgab:ESt;Einkommensteuer;10040;10040;105;0;0
10042;Steuer u. Abgab:Rentenvers.;;10040;10040;105;0;0
10043;Steuer u. Abgab:Arbeitsl.-Vers.;;10040;10040;105;0;0
10044;Steuer u. Abgab:Andere Steuer;Verschiedene Steuern;10040;10040;105;0;0
10045;Steuer u. Abgab:Sonstige Steuer;;10040;10040;105;0;0
10046;Steuerberatung;Steuerberatungskosten;10046;10046;105;0;0
10047;Umzugskosten;Umzugskosten;10047;10047;106;0;0
10048;Versicherungen;Versicherungsbeiträge;10048;10048;104;0;0
10049;Versicherungen:Haftpflicht;Haftpflichtversicherung;10048;10048;104;0;0
10050;Versicherungen:Krankenvers;Krankenversicherung;10048;10048;104;0;0
10051;Versicherungen:Lebensvers;Lebensversicherung;10048;10048;104;0;0
10052;Versicherungen:Sonstige Vers.;Sonstige Versicherungen;10048;10048;104;0;0
10053;Werbung;Werbungskosten;10053;10053;106;0;0
10054;Zinsausgaben;Zinsaufwendungen;10054;10054;103;0;0
11000;Gewerbe;Umsätze für Gewerbe;11000;11000;116;1;0
11001;Gewerbe:Einnahmen;Gewerbeeinnahmen;11000;11000;116;1;0
11002;Gewerbe:Ausgaben;Ausgaben für Gewerbe;11000;11000;116;0;0
11003;Gewerbe:Reise;Gewerbe Reisekosten;11000;11000;116;0;0
11004;Steuer u. Abgab:Umsatzsteuer;Vorsteuer;10040;11000;105;0;0
11005;Steuer u. Abgab:Umsatzsteuer:19%;Vereinnahmte UST 19%;11004;11000;105;0;0
11006;Steuer u. Abgab:Umsatzsteuer:7%;Vereinnahmte UST 7%;11004;11000;105;0;0
11007;Steuer u. Abgab:Steuerzhlg. u. Rückst.:Forderungen Finanzamt;;11009;10040;105;0;0
11008;Steuer u. Abgab:Steuerzhlg. u. Rückst.:kalk. Steuern;;11009;10040;105;0;0
11009;Steuer u. Abgab:Steuerzhlg. u. Rückst.;;10040;10040;105;0;0
11010;Steuer u. Abgab:Soli;;10040;10040;105;0;0
11011;Steuer u. Abgab:Pausch Steuer;;10040;10040;105;0;0
11012;Versicherungen:Krankenvers:BRE;;10050;10048;104;1;0
11013;Versicherungen:priv. Rentenv.;Private Rentenvorsorge;10048;10048;104;0;0
11014;Versicherungen:Krankenvers:AG-Zuschuss;;10050;10048;101;1;0
11015;Unterhaltszahlung;Unterhalt;11015;11015;110;0;0
11016;Sonstige Ausgaben:Rainer S;;10038;10038;110;0;0
11019;Nebenk. Wohnung:Telefon:Mobil;;11021;10030;114;0;0
11020;Nebenk. Wohnung:Telefon:Internet - Festnetz;Internet und Festnetzkosten;11021;10030;114;0;0
11021;Nebenk. Wohnung:Telefon;Telefon,Onlinedienste;10030;10030;114;0;0
11028;Lohn,Gehalt,Rente:PKW;;10002;10002;101;1;0
11029;Lohn,Gehalt,Rente:Reisekostenerst.;;10002;10002;101;1;0
11030;Lohn,Gehalt,Rente:Rückrechnung;;10002;10002;101;1;0
11031;Lohn,Gehalt,Rente:Sachbezuege;;10002;10002;101;1;0
11032;Lohn,Gehalt,Rente:Stfr o. Psch-St;;10002;10002;101;1;0
11033;Lohn,Gehalt,Rente:Ueberstunden;;10002;10002;101;1;0
11034;Lohn,Gehalt,Rente:VL-Anlage;Anlage der VL-Leistungen;10002;10002;101;1;0
11035;Lohn,Gehalt,Rente:VL-Leistungen;;10002;10002;101;1;0
11036;Fahrzeuge:PKW-Kosten:Benzin;Benzin,Kraftstoffe;11104;10021;107;0;0
11037;Lohn,Gehalt,Rente:Zulagen;;10002;10002;101;1;0
11038;Lohn,Gehalt,Rente:Zulagen:Sonst. Zahlg.;;11037;10002;101;1;0
11039;Steuererst.:ESt;ESt-Erstattung;10004;10004;105;1;0
11040;Steuererst.:Kirchensteuer;Kirchensteuer-Erstattung;10004;10004;105;1;0
11041;Fahrzeuge:PKW-Kosten:Sonstiges;;11104;10021;107;0;0
11042;Fahrzeuge:PKW-Kosten:Steuern;;11104;10021;107;0;0
11043;Fahrzeuge:PKW-Kosten:Versicherung;;11104;10021;107;0;0
11044;Fahrzeuge:PKW-Kosten:Wartung;;11104;10021;107;0;0
11045;Freizeit:Bücher;Romane etc.;10022;10022;108;0;0
11046;Freizeit:Magazine;;10022;10022;108;0;0
11047;Freizeit:Modellbahn;;10022;10022;108;0;0
11048;Freizeit:Musik;CDs,Platten,Kassetten;10022;10022;108;0;0
11049;Freizeit:Reise;Reisekosten;10022;10022;108;0;0
11050;Freizeit:Reise:Bar;Bargeld Urlaub;11049;10022;108;0;0
11051;Freizeit:Reise:Flug;Flugkosten;11049;10022;108;0;0
11052;Freizeit:Reise:Hotelkosten;Hotelkosten;11049;10022;108;0;0
11053;Freizeit:Reise:Zugkosten;Zugkosten;11049;10022;108;0;0
11054;Freizeit:Restaurant;Restaurant,Essen;10022;10022;108;0;0
11055;Freizeit:Sport;Sport;10022;10022;108;0;0
11056;Freizeit:Theater;Theater;10022;10022;108;0;0
11061;Freizeit:Zeitung;;10022;10022;108;0;0
11062;Krankheitskost.:Arzt;Arztrechnungen;10026;10026;113;0;0
11063;Krankheitskost.:Erstattung;;10026;10026;113;1;0
11064;Krankheitskost.:Krankenhaus;Krankenhaus;10026;10026;113;0;0
11065;Krankheitskost.:Medikamente;Arzneien und Medikamente;10026;10026;113;0;0
11066;And. Einkommen:Miete Steinbach;;10024;10024;115;1;0
11067;And. Einkommen:Miete Steinbach:Steuerersparnis;;10024;10024;115;1;0
11068;Immobilien:Whg Steinbach;;10024;10024;111;0;0
11069;Immobilien:Whg Steinbach:Nebenkosten;;11068;10024;111;0;0
11070;Immobilien:Whg Steinbach:Steuerersparnis;;11068;10024;105;0;0
11071;Fahrzeuge:PKW-Kosten:Parkplatz;;11104;10021;107;0;0
11072;Lohn,Gehalt,Rente:Zulagen:BVV-Anteil;;11037;10002;101;1;0
11073;Immobilien:Whg Steinbach:Gewinn;;11068;10024;111;0;0
11075;Immobilien:Whg Steinbach:Div. Ausgaben;;11068;10024;111;0;0
11076;Freizeit:Hund;;10022;10022;108;0;0
11077;Freizeit:Segeln;;10022;10022;108;0;0
11078;Fahrzeuge:PKW-Kosten:Reisekostenerstattung;;11104;10021;107;0;0
11079;Fahrzeuge:PKW-Kosten:Firmenwagen;;11104;10021;107;0;0
11080;Immobilien:Whg Steinbach:Zinszahlung;;11068;10024;111;0;0
11081;Immobilien:Whg Steinbach:Grundsteuer;;11068;10024;105;0;0
