id;btag;wpid;kurs
1;1997-12-31;1256;81.80
6;1997-12-31;142;83.75
7;1997-12-31;1258;0.01
8;1998-01-15;1257;85.19
9;1998-01-15;164;145.74
12;1998-02-16;164;154.46
14;1998-02-16;142;80.84
15;1998-03-16;142;81.39
16;1998-03-16;1257;80.16
17;1998-03-16;164;168.98
18;1998-04-15;1257;80.30
19;1998-04-15;164;183.01
20;1998-05-15;1257;79.77
21;1998-05-15;164;179.03
22;1998-06-15;142;82.16
23;1998-06-15;1257;80.48
24;1998-06-15;164;176.43
26;1998-07-02;1256;93.10
27;1998-07-15;1257;80.76
28;1998-07-15;164;196.35
29;1998-08-14;164;175.28
30;1998-08-17;1257;81.04
31;1998-08-17;164;174.35
32;1998-09-15;1257;81.75
33;1998-09-15;164;156.69
34;1998-09-15;142;84.17
35;1998-10-15;164;146.14
36;1998-10-15;1257;81.56
37;1998-11-16;164;158.82
38;1998-11-16;1257;82.09
39;1998-11-24;1259;0.81
40;1998-11-24;1260;1.39
41;1998-11-30;1259;1.05
44;1998-12-11;1262;5.32
45;1998-12-16;164;160.55
46;1998-12-16;1257;83.09
47;1998-12-16;142;85.50
48;1998-12-16;1262;4.85
50;1998-12-23;1260;1.04
56;1998-12-31;142;42.72
59;1998-12-31;1256;43.89
61;1999-01-12;1263;2.50
62;1999-01-15;1263;2.92
63;1999-01-15;1259;0.40
64;1999-01-19;1257;42.81
65;1999-01-22;164;93.98
66;1999-01-22;1262;2.23
67;1999-01-22;1259;0.35
68;1999-01-29;1262;1.94
69;1999-02-10;1256;30.70
70;1999-02-11;1259;0.26
73;1999-02-12;1256;33.10
75;1999-02-15;1259;0.27
77;1999-02-15;142;42.00
79;1999-02-16;164;88.24
80;1999-02-16;1257;41.12
81;1999-03-15;164;92.59
82;1999-03-15;1257;41.31
83;1999-03-15;142;41.57
85;1999-03-20;1256;37.20
86;1999-04-15;164;94.82
87;1999-04-15;1257;41.59
88;1999-05-17;164;92.02
89;1999-05-17;1257;41.75
90;1999-06-17;1257;41.74
91;1999-06-17;142;42.37
92;1999-06-17;164;95.54
93;1999-06-23;1256;38.23
94;1999-06-30;142;42.13
95;1999-07-15;164;99.21
96;1999-07-15;1257;41.67
98;1999-08-15;164;94.94
99;1999-08-15;1257;41.41
100;1999-09-15;164;97.66
101;1999-09-15;1257;41.67
102;1999-09-17;142;42.73
103;1999-10-13;164;96.85
104;1999-10-15;164;94.10
105;1999-10-15;1257;41.35
106;1999-11-15;164;108.85
107;1999-11-15;1257;41.93
108;1999-12-15;164;120.87
109;1999-12-15;1257;42.12
110;1999-12-15;142;42.35
111;2000-01-17;164;128.93
112;2000-01-17;1257;42.21
113;2000-02-15;164;140.06
114;2000-02-15;1257;42.33
116;2000-03-07;1257;40.58
117;2000-03-07;142;40.63
118;2000-03-15;142;40.74
119;2000-03-15;164;142.86
120;2000-03-15;1257;40.60
122;2000-04-10;1264;40.00
123;2000-04-17;1257;40.93
124;2000-04-17;164;125.36
125;2000-05-15;164;135.50
126;2000-05-15;1257;40.98
127;2000-06-15;164;137.63
128;2000-06-15;142;40.96
129;2000-06-15;1257;40.74
130;2000-07-17;164;139.39
131;2000-07-17;1257;40.88
132;2000-08-03;164;130.67
133;2000-08-17;164;135.50
134;2000-08-18;1257;41.15
135;2000-08-21;1257;41.08
136;2000-08-21;143;45.83
137;2000-08-22;142;41.00
138;2000-08-23;1258;17.42
139;2000-08-23;165;79.64
140;2000-09-18;142;41.30
141;2000-09-18;165;82.17
142;2000-09-18;1265;348.84
143;2000-09-18;164;136.13
144;2000-10-13;1256;28.93
145;2000-10-16;164;125.22
146;2000-10-16;1265;311.20
147;2000-10-16;165;74.42
148;2000-11-15;1265;284.63
149;2000-11-15;165;73.03
150;2000-11-15;164;125.76
151;2000-12-16;142;42.13
152;2000-12-16;165;68.42
153;2000-12-16;164;118.32
154;2000-12-16;1265;245.50
156;2001-01-15;165;66.67
157;2001-01-15;1265;220.59
158;2001-01-15;164;116.24
159;2001-02-16;164;112.25
160;2001-02-16;1265;208.91
161;2001-02-16;165;63.72
163;2001-03-01;164;103.93
165;2001-03-05;1265;170.00
166;2001-03-05;143;45.98
167;2001-03-05;142;41.16
168;2001-03-16;164;101.01
169;2001-03-16;1265;169.30
170;2001-03-16;142;41.33
171;2001-03-16;165;55.31
172;2001-04-17;165;53.84
