id;partnerid;wpkenn;isin;wptyp;risiko;beobachten;estEarning
2;2;969420;;Index;1.0;0;0
3;3;846900;;Index;1.0;0;0
18;18;BAY001;;Aktie;0.0;1;200
19;19;BASF11;;Aktie;0.0;1;330
20;20;840400;;Aktie;3.0;1;960
21;21;648300;;Aktie;0.0;1;0
26;26;716460;;Aktie;0.0;1;185
27;27;KSAG88;;Aktie;0.0;1;0
28;28;723610;;Aktie;0.0;1;0
64;64;LED400;;Aktie;0.0;1;0
69;69;725180;;Aktie;0.0;1;0
73;73;;;Aktie;0.0;1;0
84;84;;;Aktie;0.0;1;0
107;107;;;Aktie;0.0;1;0
111;111;UB0A2V;;Zertifikat;0.0;1;0
112;112;543741;;Zertifikat;0.0;1;0
113;113;DBX1DA;;ETF;0.0;1;0
114;114;604840;;Aktie;0.0;1;0
115;115;848182;;Fonds;0.0;1;6
119;119;;;Optionschein;0.0;1;0
126;126;;;Optionschein;0.0;1;0
127;127;;;Optionschein;0.0;1;0
128;128;;;Aktie;0.0;1;0
131;131;;;Aktie;0.0;1;0
134;134;;;Optionschein;0.0;1;0
138;138;;;Optionschein;0.0;1;0
139;139;;;Anleihe;0.0;1;0
140;140;;;Optionschein;0.0;1;0
142;142;;;Fonds;0.0;1;0
143;143;;;Fonds;0.0;1;0
145;145;;;Optionschein;0.0;1;0
147;147;;;Aktie;0.0;1;0
158;158;;;Optionschein;0.0;1;0
161;161;;;Aktie;0.0;1;0
163;163;;;Aktie;0.0;1;0
164;164;;;Fonds;0.0;1;0
165;165;;;Fonds;0.0;1;0
167;167;;;Zertifikat;0.0;1;0
168;168;;;Aktie;0.0;1;0
169;169;;;Aktie;0.0;1;0
171;171;;;Fonds;0.0;1;0
172;172;;;Aktie;0.0;1;0
173;173;;;Aktie;0.0;1;0
176;176;;;Aktie;0.0;1;0
177;177;;;Aktie;0.0;1;0
178;178;;;Optionschein;0.0;1;0
179;179;;;Aktie;0.0;1;0
180;180;;;Aktie;0.0;1;0
182;182;;;Fonds;0.0;1;0
183;183;;;Fonds;0.0;1;0
184;184;;;Optionschein;0.0;1;0
186;186;;;Optionschein;0.0;1;0
187;187;;;Zertifikat;0.0;1;0
188;188;;;Zertifikat;0.0;1;0
208;208;;;Aktie;0.0;1;0
381;381;;;Zertifikat;0.0;1;0
386;386;;;Zertifikat;0.0;1;0
388;388;;;Discount;0.0;1;0
389;389;;;Optionschein;0.0;1;0
401;401;;;Aktie;0.0;1;0
406;406;;;Zertifikat;0.0;1;0
630;630;;;Optionschein;0.0;1;0
631;631;;;Optionschein;0.0;1;0
633;633;;;Aktie;0.0;1;0
634;634;;;Discount;0.0;1;0
635;635;;;Discount;0.0;1;0
640;640;;;Optionschein;0.0;1;0
646;646;;;Aktie;0.0;1;0
647;647;;;Aktie;0.0;1;0
653;653;;;Optionschein;0.0;1;0
661;661;;;Aktie;0.0;1;0
662;662;;;Aktie;0.0;1;0
664;664;;;Discount;0.0;1;0
667;667;;;Zertifikat;0.0;1;0
668;668;;;Discount;0.0;1;0
669;669;;;Optionschein;0.0;1;0
670;670;;;Aktie;0.0;1;0
673;673;;;Aktie;0.0;1;0
674;674;;;Aktie;0.0;1;0
675;675;;;Aktie;0.0;1;0
678;678;;;Discount;0.0;1;0
680;680;;;Discount;0.0;1;0
681;681;;;Aktie;0.0;1;0
682;682;;;Aktie;0.0;1;0
683;683;;;Optionschein;0.0;1;0
684;684;;;Optionschein;0.0;1;0
685;685;;;Aktie;0.0;1;0
686;686;;;Optionschein;0.0;1;0
687;687;;;Aktie;0.0;1;0
688;688;;;Zertifikat;0.0;1;0
689;689;;;Discount;0.0;1;0
690;690;;;Discount;0.0;1;0
691;691;;;Optionschein;0.0;1;0
692;692;;;Zertifikat;0.0;1;0
693;693;;;Optionschein;0.0;1;0
695;695;;;Optionschein;0.0;1;0
697;697;;;Optionschein;0.0;1;0
698;698;;;Optionschein;0.0;1;0
700;700;;;Discount;0.0;1;0
701;701;;;Discount;0.0;1;0
702;702;;;Zertifikat;0.0;1;0
703;703;;;Zertifikat;0.0;1;0
704;704;;;Discount;0.0;1;0
706;706;;;Discount;0.0;1;0
707;707;;;Discount;0.0;1;0
708;708;;;Optionschein;0.0;1;0
710;710;;;Zertifikat;0.0;1;0
711;711;;;Discount;0.0;1;0
713;713;;;Optionschein;0.0;1;0
714;714;;;Discount;0.0;1;0
736;736;;;Discount;0.0;1;0
748;748;;;Optionschein;0.0;1;0
750;750;;;Discount;0.0;1;0
751;751;;;Discount;0.0;1;0
752;752;;;Discount;0.0;1;0
753;753;;;ETF;0.0;1;0
754;754;;;Discount;0.0;1;0
755;755;;;Discount;0.0;1;0
756;756;;;Optionschein;0.0;1;0
757;757;;;Discount;0.0;1;0
758;758;;;ETF;0.0;1;0
760;760;;;Aktie;0.0;1;0
761;761;;;Discount;0.0;1;0
762;762;;;Optionschein;0.0;1;0
763;763;;;Discount;0.0;1;0
764;764;;;Discount;0.0;1;0
765;765;;;Discount;0.0;1;0
766;766;;;Discount;0.0;1;0
767;767;;;Aktie;0.0;1;0
768;768;;;Aktie;0.0;1;0
770;770;;;Discount;0.0;1;0
771;771;;;Discount;0.0;1;0
772;772;;;Discount;0.0;1;0
773;773;;;Discount;0.0;1;0
774;774;;;Discount;0.0;1;0
775;775;;;Optionschein;0.0;1;0
776;776;;;Discount;0.0;1;0
777;777;;;Optionschein;0.0;1;0
778;778;;;Discount;0.0;1;0
779;779;;;Aktie;0.0;1;0
780;780;;;Discount;0.0;1;0
781;781;;;Discount;0.0;1;0
782;782;;;Optionschein;0.0;1;0
783;783;;;Optionschein;0.0;1;0
784;784;;;Optionschein;0.0;1;0
785;785;;;Aktie;0.0;1;0
789;789;;;Discount;0.0;1;0
800;800;;;Discount;0.0;1;0
808;808;;;Discount;0.0;1;0
809;809;;;Discount;0.0;1;0
810;810;;;Discount;0.0;1;0
811;811;;;Discount;0.0;1;0
812;812;;;Discount;0.0;1;0
842;842;;;Fonds;0.0;1;0
844;844;;;Anleihe;0.0;1;0
845;845;;;Optionschein;0.0;1;0
846;846;;;Optionschein;0.0;1;0
853;853;;;Aktie;0.0;1;0
857;857;;;Aktie;0.0;1;0
862;862;;;Anleihe;0.0;1;0
863;863;;;Fonds;0.0;1;0
864;864;;;Aktie;0.0;1;0
866;866;;;Aktie;0.0;1;0
867;867;;;Anleihe;0.0;1;0
882;882;;;Anleihe;0.0;1;0
941;941;;;Fonds;0.0;1;0
963;963;;;Anleihe;0.0;1;0
967;967;;;Anleihe;0.0;1;0
968;968;;;Fonds;0.0;1;0
970;970;;;Fonds;0.0;1;0
971;971;;;Fonds;0.0;1;0
975;975;;;Discount;0.0;1;0
