id;accountid;btag;catid;einstand;ertrag;haltedauer;kurs;menge;paketid;wpid;zinszahl
18114;25;1997-12-31;2001;818000;0;;8180;100000000;;1256;
18116;25;1997-12-31;2001;54078;0;;14510;3727000;;164;
18117;25;1997-12-31;2001;228461;0;;8375;27279000;;142;
18118;25;1997-12-31;2001;165657;0;;8375;19780000;;142;
18119;25;1997-12-31;2001;206006;0;;8463;24342000;;1257;
18120;25;1997-12-31;2001;15987;0;;8375;1909000;;142;
18122;25;1998-01-15;2001;25999;0;;8519;3052000;;1257;
18123;25;1998-01-15;2001;26000;0;;14574;1784000;;164;
18124;25;1998-02-16;2001;27999;0;;7941;3526000;;1257;
18125;25;1998-02-16;2001;27999;0;;15642;1790000;;164;
18126;25;1998-02-16;2103;;0;;15446;56000;;164;
18127;25;1998-02-16;2103;;0;;7926;2160000;;1257;
18128;25;1998-02-16;2103;;0;;8084;2332000;;142;
18129;25;1998-03-16;2001;23399;0;;8139;2875000;;142;
18130;25;1998-03-16;2001;27999;0;;8016;3493000;;1257;
18131;25;1998-03-16;2001;27999;0;;16898;1657000;;164;
18132;25;1998-04-15;2001;28000;0;;8030;3487000;;1257;
18133;25;1998-04-15;2001;28000;0;;18301;1530000;;164;
18134;25;1998-05-15;2001;27999;0;;7977;3510000;;1257;
18135;25;1998-05-15;2001;28000;0;;17903;1564000;;164;
18137;25;1998-06-15;2001;23399;0;;8216;2848000;;142;
18138;25;1998-06-15;2001;27998;0;;8048;3479000;;1257;
18139;25;1998-06-15;2001;27999;0;;17643;1587000;;164;
18143;25;1998-07-02;2001;311000;0;;7775;40000000;;1256;
18144;25;1998-07-02;2001;931000;0;;9310;100000000;;1256;
18145;25;1998-07-15;2001;27999;0;;8076;3467000;;1257;
18146;25;1998-07-15;2001;27999;0;;19635;1426000;;164;
18147;25;1998-08-14;2001;400006;0;;17528;22821000;;164;
18148;25;1998-08-17;2001;27999;0;;8104;3455000;;1257;
18149;25;1998-08-17;2001;28000;0;;17435;1606000;;164;
18150;25;1998-09-15;2001;27999;0;;8175;3425000;;1257;
18151;25;1998-09-15;2001;28000;0;;15669;1787000;;164;
18152;25;1998-09-15;2001;23399;0;;8417;2780000;;142;
18153;25;1998-10-15;2001;28000;0;;14614;1916000;;164;
18154;25;1998-10-15;2001;27999;0;;8156;3433000;;1257;
18155;25;1998-11-16;2001;27999;0;;15882;1763000;;164;
18156;25;1998-11-16;2001;28000;0;;8209;3411000;;1257;
18157;25;1998-11-24;2001;81000;0;;81;1000000000;;1259;
18160;25;1998-11-24;2001;69500;0;;139;500000000;;1260;
18165;25;1998-11-30;2050;-81000;0;6;105;-1000000000;;1259;
18166;25;1998-11-30;2200;-81000;0;;105;-1000000000;18157;1259;14
18168;25;1998-12-01;2001;329400;0;;549;600000000;;134;
18171;25;1998-12-04;2050;-329400;0;3;583;-600000000;;134;
18172;25;1998-12-04;2200;-329400;0;;583;-600000000;18168;134;6
18174;25;1998-12-11;2001;319200;0;;532;600000000;;1262;
18177;25;1998-12-16;2001;27999;0;;16055;1744000;;164;
18178;25;1998-12-16;2001;28001;0;;8309;3370000;;1257;
18179;25;1998-12-16;2001;23401;0;;8550;2737000;;142;
18181;25;1998-12-16;2050;-319200;0;5;485;-600000000;;1262;
18182;25;1998-12-16;2201;-319200;0;;485;-600000000;18174;1262;-14
18183;25;1998-12-16;2001;328800;0;;548;600000000;;134;
18187;25;1998-12-23;2050;-69500;0;29;104;-500000000;;1260;
18188;25;1998-12-23;2201;-69500;0;;104;-500000000;18160;1260;-50
18189;25;1998-12-23;2050;-328800;0;7;661;-600000000;;134;
18190;25;1998-12-23;2200;-328800;0;;661;-600000000;18183;134;47
18193;25;1998-12-31;2050;-503703;0;253;8356;-62540000;;142;
18194;25;1998-12-31;2201;-228461;0;;8356;-27279000;18117;142;-18
18195;25;1998-12-31;2201;-165657;0;;8356;-19780000;18118;142;-13
18196;25;1998-12-31;2201;-15987;0;;8356;-1909000;18120;142;-1
18197;25;1998-12-31;2200;;0;;8356;-2332000;18128;142;20
18198;25;1998-12-31;2200;-23399;0;;8356;-2875000;18129;142;18
18199;25;1998-12-31;2200;-23399;0;;8356;-2848000;18137;142;7
18200;25;1998-12-31;2201;-23399;0;;8356;-2780000;18152;142;-1
18201;25;1998-12-31;2201;-23401;0;;8356;-2737000;18179;142;0
18202;25;1998-12-31;2050;-788078;0;201;16873;-46758000;;164;
18203;25;1998-12-31;2200;-54078;0;;16873;-3727000;18116;164;321
18204;25;1998-12-31;2200;-26000;0;;16873;-1784000;18123;164;143
18205;25;1998-12-31;2200;-27999;0;;16873;-1790000;18125;164;70
18206;25;1998-12-31;2200;;0;;16873;-56000;18126;164;2
18207;25;1998-12-31;2201;-27999;0;;16873;-1657000;18131;164;-1
18208;25;1998-12-31;2201;-28000;0;;16873;-1530000;18133;164;-56
18209;25;1998-12-31;2201;-28000;0;;16873;-1564000;18135;164;-37
18210;25;1998-12-31;2201;-27999;0;;16873;-1587000;18139;164;-24
18211;25;1998-12-31;2201;-27999;0;;16873;-1426000;18146;164;-66
18212;25;1998-12-31;2201;-400006;0;;16873;-22821000;18147;164;-207
18213;25;1998-12-31;2201;-28000;0;;16873;-1606000;18149;164;-12
18214;25;1998-12-31;2200;-28000;0;;16873;-1787000;18151;164;23
18215;25;1998-12-31;2200;-28000;0;;16873;-1916000;18153;164;33
18216;25;1998-12-31;2200;-27999;0;;16873;-1763000;18155;164;7
18217;25;1998-12-31;2200;-27999;0;;16873;-1744000;18177;164;2
18218;25;1998-12-31;2050;-539997;0;205;8240;-67610000;;1257;
18219;25;1998-12-31;2201;-206006;0;;8240;-24342000;18119;1257;-198
18220;25;1998-12-31;2201;-25999;0;;8240;-3052000;18122;1257;-29
18221;25;1998-12-31;2200;-27999;0;;8240;-3526000;18124;1257;33
18222;25;1998-12-31;2200;;0;;8240;-2160000;18127;1257;21
18223;25;1998-12-31;2200;-27999;0;;8240;-3493000;18130;1257;22
18224;25;1998-12-31;2200;-28000;0;;8240;-3487000;18132;1257;19
18225;25;1998-12-31;2200;-27999;0;;8240;-3510000;18134;1257;21
18226;25;1998-12-31;2200;-27998;0;;8240;-3479000;18138;1257;13
18227;25;1998-12-31;2200;-27999;0;;8240;-3467000;18145;1257;9
18228;25;1998-12-31;2200;-27999;0;;8240;-3455000;18148;1257;6
